sujet,langue,extrait,label
Développement durable,fr,"Le développement durable, parfois qualifié de développement soutenable par anglicisme, est une conception du développement qui s'inscrit dans une perspective de long terme et en intégrant les contraintes environnementales et sociales à l'économie. Selon la définition donnée dans le rapport de la Commission mondiale sur l'environnement et le développement de l'Organisation des Nations unies (ONU), dit rapport Brundtland, où cette expression est apparue pour la première fois en 1987, « le développement durable est un développement qui répond aux besoins du présent sans compromettre la capacité des générations futures de répondre aux leurs ».",UTILE
Développement durable,en,,INUTILE
Cryptographie,fr,La cryptographie est une des disciplines de la cryptologie s'attachant à protéger des messages en s'aidant souvent de secrets ou clés. Elle se distingue de la stéganographie qui fait passer inaperçu un message dans un autre message alors que la cryptographie rend un message supposément inintelligible à autre que qui de droit.,UTILE
Cryptographie,en,,INUTILE
Réseau neuronal artificiel,fr,"Un réseau de neurones artificiels, ou réseau neuronal artificiel, est un système informatique dont la conception est inspirée à l'origine du fonctionnement des neurones mais qui, par la suite, s'est rapproché des méthodes statistiques.",UTILE
Réseau neuronal artificiel,en,,INUTILE
Bactérie,fr,"Les bactéries (Bacteria) sont un domaine d'organismes vivants procaryotes présents dans tous les milieux. Le plus souvent unicellulaires, elles sont parfois pluricellulaires, la plupart des espèces bactériennes ne vivant pas individuellement en suspension, mais en communautés complexes adhérant à des surfaces au sein d'un gel muqueux (biofilm).",UTILE
Bactérie,en,,INUTILE
Guerre de Sécession,fr,"La guerre de Sécession ou guerre civile américaine est une guerre civile survenue entre 1861 et 1865 aux États-Unis d'Amérique. Elle oppose le gouvernement fédéral des États-Unis, rassemblant principalement des États situés au Nord et dirigé par le président Abraham Lincoln, et les États confédérés d'Amérique, dirigés par le président Jefferson Davis et rassemblant onze États du Sud qui avaient fait sécession des États-Unis.",UTILE
Guerre de Sécession,en,,INUTILE
Physique quantique,fr,"La physique quantique est un ensemble de théories physiques nées au XXe siècle, qui décrivent le comportement des atomes et des particules et permettent d'élucider certaines propriétés du rayonnement électromagnétique.",UTILE
Physique quantique,en,,INUTILE
Python,fr,,INUTILE
Égyptologie,fr,,INUTILE
Égyptologie,en,,INUTILE
Intelligence artificielle,fr,"L'intelligence artificielle (IA) est l'ensemble des systèmes informatiques capables d'effectuer des tâches typiquement associées à l'intelligence, telles que l'apprentissage, le raisonnement, la résolution de problèmes, la perception ou la prise de décision. L'intelligence artificielle est également le champ de recherche visant à développer de tels systèmes.",UTILE
Intelligence artificielle,en,,INUTILE
Biologie moléculaire,fr,"La biologie moléculaire est une discipline scientifique de la vie au croisement de la génétique, de la biochimie métabolique et de la physique, dont l'objet est la compréhension des mécanismes de fonctionnement de la cellule au niveau moléculaire. Le terme « biologie moléculaire », utilisé la première fois en 1938 par Warren Weaver, désigne également l'ensemble des techniques de manipulation d'acides nucléiques, appelées aussi techniques de génie génétique.",UTILE
Biologie moléculaire,en,,INUTILE
Système solaire,fr,"Le Système solaire, ou système solaire, est le système planétaire du Soleil, auquel appartient la Terre. Il est composé de cette étoile et des objets célestes gravitant autour d'elle : les huit planètes confirmées accompagnées de plus de deux-cents satellites naturels connus, les cinq planètes naines et leurs neuf satellites connus, ainsi que des milliards de petits corps.",UTILE
Système solaire,en,,INUTILE
Révolution française,fr,"La Révolution française (1789-1799) est une période d'intenses bouleversements politiques et sociaux en France et dans ses colonies, ainsi qu'en Europe à la fin du XVIIIe siècle. Traditionnellement, on la fait commencer à l'ouverture des États généraux le 5 mai 1789 et finir au coup d'État de Napoléon Bonaparte le 9 novembre 1799. En ce qui concerne l'histoire de France, elle met fin à l'Ancien Régime, notamment à la monarchie absolue, remplacée par la monarchie constitutionnelle (1789-1792) puis par la Première République.",UTILE
Révolution française,en,"The French Revolution was a period of political and societal change in France that began with the Estates General of 1789 and ended with the Coup of 18 Brumaire on 9 November 1799. Many of the revolution's ideas are considered fundamental principles of liberal democracy, and its values remain central to modern French political discourse. It was caused by a combination of social, political, and economic factors which the existing regime proved unable to manage.",UTILE
Génomique,en,,INUTILE
Chimie organique,fr,"La chimie organique est le domaine de la chimie qui étudie les composés organiques, c'est-à-dire les composés du carbone. Ces composés peuvent être naturels ou synthétiques.",UTILE
Chimie organique,en,,INUTILE
Électronique,fr,,INUTILE
Électronique,en,,INUTILE
Mécanique des solides,fr,,INUTILE
Mécanique des solides,en,,INUTILE
Thermodynamique,fr,,INUTILE
Thermodynamique,en,,INUTILE
Géologie,fr,,INUTILE
Géologie,en,,INUTILE
Océanographie,fr,,INUTILE
Océanographie,en,,INUTILE
Zoologie,fr,,INUTILE
Zoologie,en,,INUTILE
Botanique,fr,,INUTILE
Botanique,en,,INUTILE
Écologie,fr,,INUTILE
Écologie,en,,INUTILE
Informatique,fr,,INUTILE
Informatique,en,,INUTILE
Systèmes d'exploitation,fr,,INUTILE
Systèmes d'exploitation,en,,INUTILE
Base de données,fr,,INUTILE
Base de données,en,,INUTILE
Réseau informatique,fr,,INUTILE
Réseau informatique,en,,INUTILE
Cybersécurité,fr,,INUTILE
Cybersécurité,en,,INUTILE
Mercure planète,fr,,INUTILE
Mercure planète,en,,INUTILE
Java langue de programmation,fr,,INUTILE
Java langue de programmation,en,,INUTILE
Quelle est la définition de l'intelligence artificielle,fr,,INUTILE
Quelle est la définition de l'intelligence artificielle,en,,INUTILE
Comment fonctionnent les panneaux solaires,fr,,INUTILE
Comment fonctionnent les panneaux solaires,en,,INUTILE
Histoire de l'informatique,fr,,INUTILE
Histoire de l'informatique,en,,INUTILE
Sciences de l'environnement,fr,,INUTILE
Sciences de l'environnement,en,,INUTILE
Technologie de l'information,fr,,INUTILE
Technologie de l'information,en,,INUTILE
Astronomie,fr,,INUTILE
Astronomie,en,,INUTILE
Géographie,fr,,INUTILE
Géographie,en,,INUTILE
Mathématiques financières,fr,,INUTILE
Mathématiques financières,en,,INUTILE
Économie internationale,fr,,INUTILE
Économie internationale,en,,INUTILE
Système politique,fr,,INUTILE
Système politique,en,,INUTILE
Histoire de l'art,fr,,INUTILE
Histoire de l'art,en,,INUTILE
Littérature française,fr,,INUTILE
Littérature française,en,,INUTILE
Musique classique,fr,,INUTILE
Musique classique,en,,INUTILE
Théâtre,fr,,INUTILE
Théâtre,en,,INUTILE
Danse,fr,,INUTILE
Danse,en,,INUTILE
Cinéma,fr,,INUTILE
Cinéma,en,,INUTILE
Histoire du Japon,fr,,INUTILE
Histoire du Japon,en,,INUTILE
Culture africaine,fr,,INUTILE
Culture africaine,en,,INUTILE
Philosophie antique,fr,,INUTILE
Philosophie antique,en,,INUTILE
Psychologie cognitive,fr,,INUTILE
Psychologie cognitive,en,,INUTILE
Neurosciences,fr,,INUTILE
Neurosciences,en,,INUTILE
Génétique humaine,fr,,INUTILE
Génétique humaine,en,,INUTILE
Biologie de l'évolution,fr,,INUTILE
Biologie de l'évolution,en,,INUTILE
Neptune,fr,,INUTILE
Neptune,en,"Neptune is the eighth and farthest known planet orbiting the Sun. It is the fourth-largest planet in the Solar System by diameter, the third-most-massive planet, and the densest giant planet. It is 17 times the mass of Earth. Compared to Uranus, its neighbouring ice giant, Neptune is slightly smaller, but more massive and dense. Being composed primarily of gases and liquids, it has no well-defined solid surface. Neptune orbits the Sun once every 164.8 years at an orbital distance of 30.1 astronomical units. It is named after the Roman god of the sea and has the astronomical symbol , representing Neptune's trident.",UTILE
Pluton,fr,"Pluton, dieu des Enfers dans la mythologie romaine, a notamment donné son nom à :",INUTILE
Pluton,en,"In geology, an igneous intrusion is a body of intrusive igneous rock that forms by crystallization of magma slowly cooling below the surface of the Earth. Intrusions have a wide variety of forms and compositions, illustrated by examples like the Palisades Sill of New York and New Jersey; the Henry Mountains of Utah; the Bushveld Igneous Complex of South Africa; Shiprock in New Mexico; the Ardnamurchan intrusion in Scotland; and the Sierra Nevada Batholith of California.",INUTILE
Python,en,Python may refer to:,INUTILE
Amazon,fr,"Amazon.com, Inc. [ˈæməˌzɑːn] est une multinationale américaine basée à Seattle, dans l'État de Washington.",UTILE
Amazon,en,"Amazon most often refers to:Amazon rainforest, a rainforest covering most of the Amazon basin
Amazon (company), an American multinational technology and retail company
Amazon River, in South America
Amazons, a tribe of female warriors in Greek mythology",INUTILE
Apple,fr,"Apple Inc. [ˈæpəl] est une entreprise multinationale américaine qui crée et commercialise des produits électroniques grand public, des ordinateurs personnels et des logiciels. La firme fait partie des géants du Web, appelés GAFAM. Parmi les produits les plus connus de l'entreprise se trouvent les Macintosh, l'iPod, l'iPhone et l'iPad, la montre Apple Watch, le lecteur multimédia iTunes ou des logiciels à destination des professionnels tels que Final Cut Pro et Logic Pro. En 2025, l'entreprise emploie 166 000 employés et exploite 532 Apple Stores répartis dans 25 pays et une boutique en ligne où sont vendus les appareils et logiciels d'Apple, mais aussi de tiers. Son chiffre d'affaires en 2025 atteint 416 milliards de dollars pour un bénéfice net de 112 milliards de dollars.",UTILE
Apple,en,"An apple is the round, edible fruit of an apple tree. Fruit trees of the orchard or domestic apple, the most widely grown in the genus, are cultivated worldwide. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found. Apples have been grown for thousands of years in Eurasia before they were introduced to North America by European colonists. Apples have cultural significance in many mythologies and religions.",UTILE
Orange,fr,,INUTILE
Orange,en,,INUTILE
Windows,fr,"Microsoft Windows [ˈwɪndoʊz] est une gamme de systèmes d’exploitation propriétaires développés par la société américaine Microsoft. Elle se décline en plusieurs produits : pour ordinateurs personnels, pour serveurs et pour systèmes embarqués.",UTILE
Windows,en,"Windows is a proprietary operating system developed by Microsoft. Windows is grouped into families that cater to particular sectors of the computing industry – Windows for personal computers, Windows Server for servers, and Windows IoT for embedded systems. Windows itself is further grouped into editions that cater to different users – Home for home users, Professional for advanced users, Education for schools, and Enterprise for corporations. Windows is sold both as a consumer retail product and to computer manufacturers, who bundle and distribute it with their systems.",UTILE
Shell,fr,,INUTILE
Shell,en,,INUTILE
Swift,fr,,INUTILE
Swift,en,,INUTILE
Jean,fr,,INUTILE
Jean,en,,INUTILE
Marie,fr,Marie est un nom propre.,INUTILE
Marie,en,Marie may refer to the following.,INUTILE
Alexandre,fr,"Alexandre est un prénom et un nom, d'origine grecque.",INUTILE
Alexandre,en,"Alexandre may refer to:Alexandre 
Alexandre (surname)
Alexandre (film)",INUTILE
Avocat,fr,"Avocat peut désigner :avocat, un juriste dont la fonction est de conseiller et de défendre ses clients ;
avocat, le fruit de l'avocatier ;
avocat, une couleur, une nuance sombre du vert tirant sur le jaune.",INUTILE
Avocat,en,,INUTILE
Mars,fr,"Le nom propre Mars est originellement le nom latin du dieu de la guerre dans la mythologie romaine, et celui d'une des planètes. C'est aussi un acronyme, un patronyme et un toponyme.",INUTILE
Mars,en,"Mars is the fourth planet from the Sun. It is also known as the ""Red Planet"", for its orange-red appearance. Mars is a desert-like rocky planet with a tenuous atmosphere that is primarily carbon dioxide. At the average surface level the atmospheric pressure is a few thousandths of Earth's, atmospheric temperature ranges from −153 to 20 °C, and cosmic radiation is high. Mars retains some water, in the ground as well as thinly in the atmosphere, forming cirrus clouds, fog, frost, larger polar regions of permafrost and ice caps, but no bodies of liquid surface water. Its surface gravity is roughly a third of Earth's or double that of the Moon. Its mean diameter, 6,779 km (4,212 mi), is about half the Earth's, or twice the Moon's, and its surface area is the size of all the dry land of Earth.",UTILE
Venus,fr,Vénus ou Venus peut désigner :,INUTILE
Venus,en,"Venus is the second planet from the Sun. Similar in size and mass to Earth, Venus has no liquid water, and its atmosphere is far thicker and denser than that of any other rocky body in the Solar System. The atmosphere is composed mostly of carbon dioxide and has a thick cloud layer of sulfuric acid that spans the whole planet. At the mean surface level, the atmosphere reaches a temperature of 737 K and a pressure 92 times greater than Earth's at sea level, turning the lowest layer of the atmosphere into a supercritical fluid. From Earth, Venus is visible as a star-like point of light, appearing brighter than any other natural point of light in the sky, as either the brightest ""morning star"" or ""evening star"".",UTILE
Jupiter,fr,Jupiter peut faire référence à :,INUTILE
Jupiter,en,"Jupiter is the fifth planet from the Sun, and the largest in the Solar System. This is a gas giant with a mass nearly 2.5 times that of all the other planets in the Solar System combined and slightly less than one-thousandth the mass of the Sun. Its diameter is 11 times that of Earth and a tenth that of the Sun. Jupiter orbits the Sun at a distance of 5.20 AU (778.5 Gm), with an orbital period of 11.86 years. This is the third-brightest natural object in the Earth's night sky, after the Moon and Venus, and has been observed since prehistoric times. Its name derives from that of Jupiter, the chief deity of ancient Roman religion.",UTILE
Saturne,fr,Le mot Saturne est originellement le nom français d'une divinité romaine.,INUTILE
Saturne,en,,INUTILE
Uranus,fr,,INUTILE
Uranus,en,"Uranus is the seventh planet from the Sun. It is a gaseous cyan-coloured ice giant. Most of the planet is made of water, ammonia, and methane in a supercritical phase of matter, which astronomy calls ""ice"" or volatiles. The planet's atmosphere has a complex layered cloud structure and has the lowest minimum temperature of all the Solar System's planets. It has a marked axial tilt of 82.23° with a retrograde rotation period of 17 hours and 14 minutes. This means that in an 84-Earth-year orbital period around the Sun, its poles get around 42 years of continuous sunlight, followed by 42 years of continuous darkness.",UTILE
Cobalt,fr,"Le cobalt est l'élément chimique de numéro atomique 27, de symbole Co.",INUTILE
Cobalt,en,"Cobalt is a chemical element; it has symbol Co and atomic number 27. As with nickel, cobalt is found in the Earth's crust only in a chemically combined form, save for small deposits found in alloys of natural meteoric iron. The free element, produced by reductive smelting, is a hard, lustrous, somewhat brittle, gray metal.",UTILE
Chrome,fr,"Le chrome est l'élément chimique de numéro atomique 24, de symbole Cr. Le corps simple est un métal de transition.",UTILE
Chrome,en,,INUTILE
Sprint,fr,,INUTILE
Sprint,en,,INUTILE
Ruby,fr,,INUTILE
Ruby,en,"Ruby is a pinkish-red to blood-red-colored gemstone, a variety of the mineral corundum, consisting of aluminium oxide (α-Al2O3). Ruby is one of the most popular traditional jewelry gems and is very durable. Other varieties of gem-quality corundum are called sapphires, and rubies are also sometimes referred to as ""red sapphires"".",UTILE
Luna,fr,,INUTILE
Luna,en,,INUTILE
